id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_932,"Viên uống tăng chiều cao GH-Greation","GIỚI THIỆU CHUNG 
 
 
 
 
 
Chiều cao khiêm tốn, không chỉ khiến bạn mất tự tin về vóc dáng mà nó còn ảnh hưởng đến sự phát triển toàn diện về thể chất và sức khỏe. Vì thế, việc tìm hiểu những nguyên nhân dẫn đến chiều cao hạn chế sẽ giúp bạn có cách khắc phục tốt nhất. 
 
Thực Phẩm Chức năng GH Creation của Nhật Bản giúp bạn tăng chiều cao cho dù bạn đang ở độ tuổi 25. GH Creation đang rất được người tiêu dùng khắp thế giới quan tâm. 
 
GH là tên viết tắt của Growth Hormone. Con người từ khi sinh ra đến giai đoạn phát triển gồm có hơn 100 loại hocmone duy trì mọi hoạt động của cơ thể bạn giúp cuộc sống lành mạnh hơn. Growth Hormone là yếu tố đầu tiên quan trọng nhất cần thiết để phát triển chiều cao. 
 
Thực phẩm chức năng hỗ trợ tăng chiều cao GH Creation của Nhật là sự kết hợp hoàn hảo giữa các thành phần dinh dưỡng giúp phát triển chiều cao tuyệt đối phù hợp với các độ tuổi nhất là độ tuổi từ 10-30 tuổi. Sản phẩm là giải pháp hoàn hảo giúp bạn tăng chiều cao một cách tự nhiên nhất mà không hề ảnh hưởng tới sức khỏe và sinh hoạt hàng ngày của bạn. 
 
 
Viên Uống Tăng Chiều Cao GH Creation Có Nguồn Gốc Từ Đâu? 
 
 
  GH Creation được điều chế và sản xuất tại nhà máy liên doanh thuộc tập đoàn AFC Efushi có trụ sở tại Tỉnh Shizuoka, Nhật Bản 
  AFC Efushi Group đã từng được các tín đồ làm đẹp am hiểu về mỹ phẩm của Nhật biết đến 2 loại kem dưỡng chiết xuất tế bào gốc AFC Fine Repair Veil và Beau Avec. GH Creation cũng chính là một sản phẩm do AFC Efushi Group phát triển. 
  Sản phẩm GH Creation được công ty Eternal có trụ sở tại Sugamo, Toshima-ku, Tokyo, Nhật Bản phân phối độc quyền 
  GH Creation được điều chế và sản xuất tại nhà máy liên doanh thuộc tập đoàn AFC Efushi 
  Sản phẩm GH Creation  được cấp 02 bằng sáng chế là Bonpeppu và Purotetaito 
  GH-creation được cấp Giấy chứng nhận Đăng ký nhãn hàng được lưu hành trên thị trường bởi Cục Tiêu dùng Nhật Bản ngày 13/02/2014 
 
  
 
 
THÀNH PHẦN 
 
 
  GH Creation có chứa các gốc α-GPC (glycerophosphocholine) là một chất dinh dưỡng sinh học không thể thiếu cho hoạt động phát triển và đời sống của con người. 
  Axit amin thiết yếu 'arginine', có tác dụng thúc đẩy sự phát triển của hormone tăng chiều cao. 
  Bonpeppu, Purotetaito, Coral Canxi,... 
 
CÔNG DỤNG 
 
 
  GH Creation chứa hormone tăng chiều cao là chế phẩm tổng hợp bằng công nghệ sinh học tái tổ hợp gen người. Human growth hormone là thành phần được dùng để điều trị một số bệnh ở người trong đó có làm tăng chiều cao dùng cho trẻ em tuổi đang lớn có chiều cao khiêm tốn do thiếu GH (đã được xác định chắc chắn có nồng độ GH máu thấp bằng xét nghiệm). 
  GH là sản phẩm hỗ trợ tăng trưởng dùng để hỗ trợ điều trị giúp tăng chiều cao cho trẻ đang trong độ tuổi dậy thì có chiều cao khiêm tốn so với bạn bè cùng chăng lứa bởi thiếu GH 
  Kích thích khả năng tăng trưởng giúp mô sụn đầu xương dài ra và cốt hóa trước độ tuổi trưởng thành. 
  Viên uống tăng chiều cao GH Creation tăng trung bình 2-5 cm tùy vào cơ địa mỗi người, độ tuổi, khả năng hấp thụ của cơ thể. Ngoài công dụng giúp tăng chiều cao hiệu quả, nhanh chóng GH Creation còn làm tăng độ đàn hồi cho da và tăng độ dày da. 
  Dùng GH Creation là cách tăng chiều cao tự nhiên và an toàn. GH Creation Nhật Bản là sự lựa chọn hoàn hảo cho ai muốn phát triển chiều cao. 
  Đồng thời GH Creation còn giúp cải thiện chức năng miễn dịch và cải thiện làm lành vết thương rút ngăn thời gian phục hồi chấn thương hoặc phẫu thuật. 
 
  
 
 
 
HƯỚNG DẪN SỬ DỤNG 
 
 
  Liệu trình uống của TPCN tăng chiều cao GH Creation trong 3 tháng, có thể sử dụng 3 liệu trình trong 1 năm. Tùy vào cơ địa và khả năng hấp thụ của từng người có thể tăng từ 2-5cm. 
  Dùng 3 viên/ngày, uống trước khi đi ngủ trong khoảng 21h-22h. Thời gian viên uống tăng chiều cao GH hấp thụ tốt nhất là 23h-2h sáng. 
  Để đạt hiệu quả tối ưu cần: Ngủ đủ 7-8 tiếng/ngày, luyện tập thể dục thể thao ít nhất 30 phút mỗi ngày để thúc đẩy trao đổi chất và có thể kéo giãn xương. 
  Thực hiện chế độ ăn khoa học, đầy đủ canxi, protein và vitamin.",https://nawanashop.com/wp-content/uploads/2020/09/51e125eqWoL._AC_SL1073_.jpg,https://nawanashop.com/sản phẩm/vien-uong-tang-chieu-cao-gh-greation/,"SẢN PHẨM CHỨC NĂNG CHO BÉ","NawanaShop",990000VND,in stock,wc_post_id_932,https://nawanashop.com/472-2/?add-to-cart=932,"https://nawanashop.com/wp-content/uploads/2020/09/61omJVVe0L._AC_SL1280_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/116422647_117471540057326_834629014427227865_n.jpg,https://nawanashop.com/wp-content/uploads/2020/09/116735018_117471520057328_4505470415261461694_n.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,990000VND,new,published,,
wc_post_id_921,"Sữa tắm gội Arau Baby 450ml","Sữa Tắm gội toàn thân arau baby 450ml với chiết xuất 100% từ thảo mộc tự nhiên sẽ mang lại những giây phút thư giãn khi tắm, bảo vệ làn da mỏng manh của trẻ nhỏ. Cho bé làn da sạch khuẩn và mềm mại. Sản phẩm sữa tắm cho bé không chứa phụ gia hay các chất tạo màu, tạo mùi, đảm bảo an toàn tuyệt đối, giúp các bà mẹ yên tâm hơn khi làm vệ sinh cho con mình. 
Đặc điểm nổi bật của tắm gội toàn thân arau baby 450ml 
100% thành phần tự nhiên 
 
– Được chiết xuất từ các loại thảo mộc, không chứa phụ gia tổng hợp, nâng niu cho làn da nhạy cảm của bé. 
 
– Thành phần:  Nước cất, potassium soap base, glycerin, tinh dầu hoa oải hương, tinh dầu chanh, chiết xuất lá tía tô, chiết xuất lá hương thảo, BG. 
 
– Sữa Tắm Bọt Arau Baby là loại sữa tắm bọt hoàn toàn nguyên chất tự nhiên, không chứa thành phần hóa chất có khả năng gây kích ứng da thường được thấy trong các loại xà phòng tắm thông thường khác như phốt phát, edentate, mùi hương tổng hợp, màu tổng hợp hay chất bảo quản. 
 
– Tắm gội Arau Baby tạo cảm giác mềm mại tự nhiên trên da của bé, để lại trên da bé mùi hương thoang thoảng dịu dàng đáng yêu của thảo mộc suốt ngày. 
 
Không chứa phụ gia tạo hương tổng hợp 
 
– Sản phẩm không chứa chất phụ gia, không gây kích ứng và đảm bảo an toàn cho làn nhạy cảm của trẻ nhỏ. 
 
– Làn bọt dày mịn ti li vừa nhẹ nhàng làm sạch làn da nhạy cảm và tóc bé, vừa cho bé cảm giác thoải mái vui đùa khi tắm; da bé sẽ không bị kích ứng vì hóa chất tổng hợp, lại luôn được giữ mềm mại, sạch sẽ với hương thơm tự nhiên của thảo mộc. 
 
– Không làm cay mắt, an toàn cho làn da nhạy cảm của bé. 
 
– Dung tích: 450ml 
 
– Dùng cho bé từ sơ sinh trở lên 
 
– Xuất xứ: Nhật Bản 
 
Hướng dẫn sử dụng 
 
Làm ướt cơ thể bé trước khi cho một lượng vừa đủ bọt nước tắm ARAU BABY, xoa đều lên da. (Tắm kết hợp với massage để đạt hiệu quả tối đa cho bé). Sau đó tắm lại với nước sạch.",https://nawanashop.com/wp-content/uploads/2020/09/sua-tam-cho-be-arau-baby-450ml-4.jpg,https://nawanashop.com/sản phẩm/sua-tam-goi-arau-baby-450ml/,"SỮA TẮM","NawanaShop",210000VND,in stock,wc_post_id_921,https://nawanashop.com/472-2/?add-to-cart=921,"https://nawanashop.com/wp-content/uploads/2020/09/116289971_117471080057372_3181676058646232984_n.jpg,https://nawanashop.com/wp-content/uploads/2020/09/116334754_117471053390708_7937486708275327237_n.jpg,https://nawanashop.com/wp-content/uploads/2020/09/sua-tam-cho-be-arau-baby-450ml-5.jpg,https://nawanashop.com/wp-content/uploads/2020/09/sua-tam-cho-be-arau-baby-450ml-6.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,210000VND,new,published,,
JPCN001_914,"VIÊN UỐNG DHC DẦU HOA HỒNG THƠM CƠ THỂ","😡 Mùi hôi cơ thể khó chịu - làm mình mất tự tin khi ra đường. Ngại lại gần người khác! 
‼️Đã có DHC thơm người - toả hương cơ thể để cơ thể có mùi thơm thoang thoảng mà k cần dùng đến nước hoa 😌 
❤ VIÊN UỐNG DHC DẦU HOA HỒNG THƠM CƠ THỂ 20 NGÀY / 40 viên 
👌🏻Làm thay đổi thành phần gây mùi hôi có trong tuyến mồ hôi giúp cơ thể thơm tho sau từ 2-3 giờ uống. Trước khi đi tập uống em này để toả mồ hôi thành mùi thơm nào 🤣🤣🤣 
👌🏻Giúp ổn định lượng tiết tố, tạo nên mùi hương hoa hồng nhẹ nhàng, đặc trưng ngay cả khi bạn vận động nhiều và làm nóng cơ thể. 
👌🏻 Làm sạch đường ruột, thanh lọc và giải độc. 
👫Thích hợp cho cả nam và nữ. 
⭐️⭐️Hướng dẫn sử dụng : 
- Dùng mỗi lần 1 viên. 
- Mỗi ngày uống 2 viên. 
- Nên uống sau bữa ăn để có công dụng tốt nhất",https://nawanashop.com/wp-content/uploads/2020/09/61ecMjArTL._AC_SL1000_.jpg,https://nawanashop.com/sản phẩm/vien-uong-dhc-dau-hoa-hong-thom-co-the/,"KEM DƯỠNG DA, SẢN PHẨM CHỨC NĂNG CHO BÉ","NawanaShop",349000VND,in stock,JPCN001_914,https://nawanashop.com/472-2/?add-to-cart=914,"https://nawanashop.com/wp-content/uploads/2020/09/41djRCeVaL._AC_SL1000_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/111999228_116928443444969_5913842584683357252_n.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,349000VND,new,published,,
JPDD007_879,"VIÊN TRĨ ĐÚT HẬU MÔN CHỮ A NHẬT BẢN","#VIÊN_TRĨ ĐÚT HẬU MÔN CHỮ A NHẬT BẢN 
Thuốc viên đặt trĩ chữ A: chỉ định điều trị trĩ nội. 
Viên đặt trị trĩ chữ A Nhật Bản chiết xuất từ các loại thảo dược thiên nhiên là một trong những loại thuốc trĩ hiệu quả nhất hiện nay giúp người bệnh nhanh chóng xóa tan mọi cơn đau buốt, khó chịu do bị bung trĩ. 
 CÔNG DỤNG: 
Giảm ngay triệu chứng đau rát, ngứa, khó chịu 
Tác dụng làm mềm múi trĩ, tiêu trĩ 
Thuốc không gây đau đớn, nóng rát khi sử dụng 
Thuốc dành đặc trị bệnh trĩ nội hiệu quả 
Cách sử dụng: 
Ngày 1-2 lần, mỗi lần 1 viên. 
Chỉ dùng cho người trên 15 tuổi. 
Sử dụng hiệu quả nhất sau khi đi vệ sinh, sau khi tắm hoặc trước khi đi ngủ. 
Nên bảo quản ngăn mát tủ lạnh để viên thuốc cứng, dễ đút.",https://nawanashop.com/wp-content/uploads/2020/09/81g35-msvLL._AC_SL1500_.jpg,https://nawanashop.com/sản phẩm/vien-tri-dut-hau-mon-chu-a-nhat-ban/,"KEM DƯỠNG DA, SẢN PHẨM CHỨC NĂNG CHO BÉ","NawanaShop",650000VND,out of stock,JPDD007_879,https://nawanashop.com/472-2/?add-to-cart=879,"https://nawanashop.com/wp-content/uploads/2020/09/71KhEfTb0L._AC_SL1500_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/81g5KgxU6ML._AC_SL1500_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/81mHXgQHfQL._AC_SL1500_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/81pGlfRjAgL._AC_SL1500_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/813vTX5enGL._AC_SL1500_.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,599000VND,new,published,,
JPDD006_873,"NƯỚC SÚC MIỆNG Propolinse Nhật Bản","NƯỚC SÚC MIỆNG Propolinse Nhật Bản review ngút ngàn trên internet , HẾT HÔI MIỆNG, LÀM TRẮNG RĂNG, LẤY CAO RĂNG, CHỐNG UNG THƯ VÒM HỌNG.. 
 
 
 Phản hồi của khách: 
 
 
➤ 'Em chưa đi lấy cao răng bao giờ nên nó ra cả đống, cả tảng mảng bám trong răng.' 
➤ 'Em thấy ai cũng nên dùng, thật sự, thật sự rất cần thiết ý. Đặc biệt là những người hay hút thuốc lá, hay phải đi lấy cao răng,.... Mà VẤN ĐỀ RĂNG MIỆNG THÌ KHÔNG NÊN XEM NHẸ.' 
 
 
Nước xúc miệng thần thánh - Nước súc miệng Nhật Bản Propolinse 
 
 
Nhìn vào cái cốc vừa súc miệng xong là biết sức mạnh đánh bay mảng bám của nó là như thế nao.( Ko dám đăng hết ảnh kẻo khách nhìn xong ' Li Vơ phun' ra mất) 
 
 
bảo sao nó dc mệnh danh thêm 2 chữ ' Thần thánh': 
 
 
Dùng cái này rồi thì khỏi cần đi lấy cao răng. Quá nhẹ nhàng và êm ái, lại k bị ê buốt răng hay tốn kém nhiều. 1 lọ dùng cho cả nhà luôn. 
 
 
Ngậm nước súc miệng này 1 lúc (chỉ ngậm thôi, k súc nhé). Tầm 2-5' thôi. Nhổ ra cốc mà xem thành quả nha. Hết hồn con chồn luôn ý. Nó bóc tách mảng bám bị cáu lại lâu ngày ở trong răng ra. 
 
 
Mỗi ngày chỉ làm duy nhất 1 lần, mỗi lần tầm 2-5'. 
 
 
Làm xong cảm thấy răng sạch lắm luôn. Hẳn là kin kít nhá . Miệng k có mùi gì luôn. 
 
 
Màu trắng Cũng làm sạch nhưng có thêm chất tẩy trắng làm răng trắng sáng hơn 
 
 
Hàng sẵn đam bảo chuẩn 100%",https://nawanashop.com/wp-content/uploads/2020/09/71gNXlSxPEL._AC_SL1500_.jpg,https://nawanashop.com/sản phẩm/nuoc-suc-mieng-propolinse-nhat-ban/,"KEM DƯỠNG DA","NawanaShop",295000VND,in stock,JPDD006_873,https://nawanashop.com/472-2/?add-to-cart=873,"https://nawanashop.com/wp-content/uploads/2020/09/115995708_116238270180653_2981701543902077737_n.jpg,https://nawanashop.com/wp-content/uploads/2020/09/116294012_116238313513982_8371549770328049436_n.jpg,https://nawanashop.com/wp-content/uploads/2020/09/116438955_116238253513988_8115719219880438040_n.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,199000VND,new,published,,
JPDD005_857,"KEM TRỊ NỐT RUỒI TSUBUPORON NIGHT PATCH 20g","Thổi bay nốt ruồi cứng đầu đáng ghét không cần thẩm mỹ hay phẫu thuật, không đau lại êm ru nè 
 
KEM TRỊ NỐT RUỒI TSUBUPORON NIGHT PATCH 20g 
 
 
 Giúp loại bỏ nốt ruồi ruồi an toàn và hiệu qủa nhất, sản phẩm không hề chứa axit salicylic nên an toàn cho da. 
 
 
+ Tsubuporon sử dụng gấp 10 lần lượng hạt coix để cung cấp cho bạn sản phẩm để điều trị những vết bẩn khó chịu này và mang lại làn da trắng sáng. 
 
 
- Được chiết xuất từ 46 loại thảo mộc tự nhiên, an toàn không gây kích ứng cho da. 
 
 
 Khi sử dụng nên làm sạch da và serum thoa lên khi làn da hoàn toàn khô ráo. Ngày 1 lần vào ban đêm. Không rửa da sau khi sử dụng - hãy chờ cho đến khi bề mặt khô và bóc ra nhé !!!",https://nawanashop.com/wp-content/uploads/2020/09/51N5gPUZHaL._AC_SL1500_.jpg,https://nawanashop.com/sản phẩm/kem-tri-not-ruoi-tsubuporon-night-patch-20g/,"KEM DƯỠNG DA","NawanaShop",520000VND,in stock,JPDD005_857,https://nawanashop.com/472-2/?add-to-cart=857,"https://nawanashop.com/wp-content/uploads/2020/09/21qwFgcIEJL._AC_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/51KjB4sOMnL._AC_SL1500_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/81QclrtGGuL._AC_SL1500_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/91yczHmBjLL._AC_SL1500_.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,499000VND,new,published,,
JPDD004_849,"KEM MẮT MEISHOKU - TRỊ THÂM, CHỐNG LÃO HOÁ VÙNG MẮT","KEM MẮT MEISHOKU - TRỊ THÂM, CHỐNG LÃO HOÁ VÙNG MẮT 
Kem mắt là siêu quan trọng luôn đó mấy chế vì vùng da mắt là nơi nhạy cảm và dễ bị lão hoá nhất. 
 Mấy chế nên tập dùng kem mắt ngay đi nhen nhất là mấy chế hay thức khuya, để nữa là da mắt bị lão hoá muốn chữa thì siêu tốn kém mà kết quả cũng không cao đâu ạ 
P cảm nhận là e thâm mắt Nhật này sẽ là chân ái cho tụi mìn đó  
Em bé bự tận 30ml (dùng gần cả năm luôn í) 
 E này hiệu quả mà zá lại hợp lí đối với xị e mìn lắm lun đó  
Chiết xuất nhau thai cùng vitamin E ngấm sâu vào da, ngăn chặn sự sản xuất melanin – kẻ thù gây nên những vấn đề sắc tố trên da, giúp vùng da quanh mắt trắng sáng, chống lại sự xỉn màu. 
Nhau thai và vitamin E cũng được biết đến với khả năng chống oxi hóa, chống lão hóa tuyệt vời. 
Chúng thúc đẩy quá trình trao đổi chất và tăng tuần hoàn máu dưới da. 
Trị quầng thâm mắt, ngăn chặn sự xuất hiện của các vết đồi mồi, đốm nâu. 
Cải thiện nếp nhăn, đường fine line gây ra bởi sự khô da, máu kém lưu thông. 
Chất kem dày, khả năng dưỡng ẩm tuyệt vời với collagen, glycerin. 
Chiết xuất từ hạt ý dĩ giúp làm trắng, dưỡng ẩm, ngăn ngừa sự thô ráp của da. 
Cung cấp độ ẩm, độ đàn hồi, loại bỏ sự mệt mỏi cho đôi mắt. 
Làm giảm sự chảy xệ, làm săn chắc vùng da quanh mắt. 
Sử dụng tốt cho cả vùng quanh miệng 
 Mấy chế đừng chần chừ đầu tư cho mình 1 tuýt kem mắt đi nha, đảm bảo sẽ không hối hận đâu ạ",https://nawanashop.com/wp-content/uploads/2020/09/710te49VpvL._AC_SL1200_.jpg,https://nawanashop.com/sản phẩm/kem-mat-meishoku-tri-tham-chong-lao-hoa-vung-mat/,"KEM DƯỠNG DA","NawanaShop",300000VND,in stock,JPDD004_849,https://nawanashop.com/472-2/?add-to-cart=849,"https://nawanashop.com/wp-content/uploads/2020/09/81c-vZNsASL._AC_SL1500_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/81GKpc1aP9L._AC_SL1500_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/81iN4ibdfpL._AC_SL1500_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/81ttZmnO-L._AC_SL1500_.jpg,https://nawanashop.com/wp-content/uploads/2020/09/110302887_116217430182737_451688019987134545_n.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,249000VND,new,published,,
JPDD003_806,"MẶT NẠ HADAOMOI NHẬT","MẶT NẠ HADAOMOI Nhật - mặt nạ quốc dân đang được mọi người săn lùng đây ạ  
Bịch 30_miếng 
 Có 3 màu: 
 Màu hồng: Mặt nạ tế bào gốc giúp chữa lành, làm đầy các vùng sẹo mụn, xóa mờ nám, thâm và nếp nhăn hiệu quả trên da 
- Làm dịu da sau khi lăn kim, đi laser, bắn CO2, giúp khôi phục và tái tạo da bị tổn thương nhanh chóng. 
- Đắp mặt nạ tế bào gốc dưỡng da là cách thức tốt nhất để bạn chống lại sự lão hóa, kích thích sản sinh tế bào mới, những vết nứt chân chim, vết nhăn trên trán, khóe môi dần dần mờ đi và biến mất sau một thời gian kiên trì sử dụng sản phẩm. 
- Ngoài ra, sản phẩm này còn giúp da bổ sung độ ẩm, dưỡng da trắng hồng nhờ tác dụng từ tế bào gốc, yếu tố tăng trưởng và peptide sinh học. 
Màu trắng: Mặt nạ trắng da, cấp nước 
- Giàu collagen, ceramide, đậu nành và double hyaluronic acid. 
- Giúp dưỡng ẩm, cấp nước, mang đến làn da mềm mại, căng mịn. 
- Dạng gel gốc nước, tan nhanh vào da và không gây nhờn rít 
 Màu tím: Mặt nạ ngủ cung cấp & giữ độ ẩm 
- Với các tinh chất siêu đậm đặc giúp tái tạo da, dưỡng ẩm & chống lão hoá. 
- Da sẽ khác biệt sau một đêm  
===============================",https://nawanashop.com/wp-content/uploads/2020/09/dapmatHada.jpg,https://nawanashop.com/sản phẩm/mat-na-hadaomoi-nhat/,"KEM DƯỠNG DA","NawanaShop",195000VND,in stock,JPDD003_806,https://nawanashop.com/472-2/?add-to-cart=806,"https://nawanashop.com/wp-content/uploads/2020/09/104497133_1733598550125889_8660928807087802561_n.jpg,https://nawanashop.com/wp-content/uploads/2020/09/m33eps3D.jpeg,https://nawanashop.com/wp-content/uploads/2020/09/TbhB-12g.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,195000VND,new,published,,
JPDD002_L4_800,"Nước hoa hồng Hada Labo Nhật Super Hyaluronic Acid Lotion 4.90 out of 5","LOẠI SẢN PHẨM: Trắng da khô",https://nawanashop.com/wp-content/uploads/2020/09/104975966_1733599153459162_4619783529938612894_n.jpg,https://nawanashop.com/sản phẩm/nuoc-hoa-hong-hada-labo-nhat-super-hyaluronic-acid-lotion-4-90-out-of-5/?attribute_loai-san-pham=Tr%E1%BA%AFng+da+kh%C3%B4,"KEM DƯỠNG DA","NawanaShop",285000VND,in stock,JPDD002_796,https://nawanashop.com/472-2/?add-to-cart=796&variation_id=800&attribute_loai-san-pham=Tr%E1%BA%AFng+da+kh%C3%B4,"https://nawanashop.com/wp-content/uploads/2020/09/105594861_1733599120125832_1140087708006595639_n.jpg,https://nawanashop.com/wp-content/uploads/2020/09/106099883_1733599093459168_8326025730584681346_n.jpg,https://nawanashop.com/wp-content/uploads/2020/09/a707f8af91d8b2fc8404ded527a0d68d.jpg,https://nawanashop.com/wp-content/uploads/2020/09/f33a1e045236f8a03e413e8811219ad9.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,285000VND,new,published,,"loai-san-pham:Dưỡng ẩm da dầu/Dưỡng ẩm da khô/Trắng da dầu/Trắng da khô:Trắng da khô"
JPDD002_L3_799,"Nước hoa hồng Hada Labo Nhật Super Hyaluronic Acid Lotion 4.90 out of 5","LOẠI SẢN PHẨM: Trắng da dầu",https://nawanashop.com/wp-content/uploads/2020/09/104975966_1733599153459162_4619783529938612894_n.jpg,https://nawanashop.com/sản phẩm/nuoc-hoa-hong-hada-labo-nhat-super-hyaluronic-acid-lotion-4-90-out-of-5/?attribute_loai-san-pham=Tr%E1%BA%AFng+da+d%E1%BA%A7u,"KEM DƯỠNG DA","NawanaShop",285000VND,in stock,JPDD002_796,https://nawanashop.com/472-2/?add-to-cart=796&variation_id=799&attribute_loai-san-pham=Tr%E1%BA%AFng+da+d%E1%BA%A7u,"https://nawanashop.com/wp-content/uploads/2020/09/105594861_1733599120125832_1140087708006595639_n.jpg,https://nawanashop.com/wp-content/uploads/2020/09/106099883_1733599093459168_8326025730584681346_n.jpg,https://nawanashop.com/wp-content/uploads/2020/09/a707f8af91d8b2fc8404ded527a0d68d.jpg,https://nawanashop.com/wp-content/uploads/2020/09/f33a1e045236f8a03e413e8811219ad9.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,285000VND,new,published,,"loai-san-pham:Dưỡng ẩm da dầu/Dưỡng ẩm da khô/Trắng da dầu/Trắng da khô:Trắng da dầu"
